DrugBank ID	SIDE EFFECT	MIN	MEAN	MAX	Drug name
DB00244	Pruritus	1.0	3.424	10.0	Mesalazine
DB00244	Rash	1.0	5.72857142857	23.0	Mesalazine
DB00244	Rectal disorder	1.0	4.0	7.0	Mesalazine
DB00244	Rectal haemorrhage	2.0	3.0	4.0	Mesalazine
DB00244	Rectal tenesmus	6.0	6.5	7.0	Mesalazine
DB00244	Rhinitis	5.0	29.3333333333	43.0	Mesalazine
DB00244	Sinusitis	3.0	5.0	7.0	Mesalazine
DB00244	Somnolence	2.0	2.0	2.0	Mesalazine
DB00244	Sweating	3.0	3.0	3.0	Mesalazine
DB00244	Tenderness	5.0	5.0	5.0	Mesalazine
DB00244	Tension	6.0	6.0	6.0	Mesalazine
DB00244	Throat sore	19.0	19.0	19.0	Mesalazine
DB00244	Urticaria	2.0	2.0	2.0	Mesalazine
DB00244	Vaginal infection	2.0	2.0	2.0	Mesalazine
DB00244	Vaginal inflammation	2.0	2.0	2.0	Mesalazine
DB00244	Vomiting	1.0	2.9428571428600003	6.0	Mesalazine
DB00248	Abdominal pain	5.0	6.005	8.23	Cabergoline
DB00248	Abnormal vision	1.19	1.19	1.19	Cabergoline
DB00248	Acne	1.36	1.36	1.36	Cabergoline
DB00248	Anorexia	1.3	3.415	6.7	Cabergoline
DB00248	Anxiety	1.0	4.752	11.1	Cabergoline
DB00248	Arthralgia	6.7	6.7	6.7	Cabergoline
DB00248	Arthropathy	3.8	3.8	3.8	Cabergoline
DB00248	Asthenia	3.8	5.973076923080001	8.93	Cabergoline
DB00248	Back pain	5.7	5.75	5.8	Cabergoline
DB00248	Breast pain	1.19	2.30333333333	3.46	Cabergoline
DB00248	Bronchitis	6.3	6.45	6.6	Cabergoline
DB00248	Cerebration impaired	1.0	1.0	1.0	Cabergoline
DB00248	Confusional state	3.3	4.4	5.8	Cabergoline
DB00248	Constipation	3.8	10.314285714299999	22.7	Cabergoline
DB00248	Decreased appetite	1.3	3.415	6.7	Cabergoline
DB00248	Depression	2.16	2.77	3.17	Cabergoline
DB00248	Diarrhoea	1.81	2.785	4.3	Cabergoline
DB00248	Disturbance in attention	1.0	1.0	1.0	Cabergoline
DB00248	Dizziness	1.0	13.697647058800001	27.0	Cabergoline
DB00248	Dry mouth	2.0	5.965	10.1	Cabergoline
DB00248	Dyskinesia	3.8	8.9	16.4	Cabergoline
DB00248	Dysmenorrhoea	1.0	1.095	1.19	Cabergoline
DB00248	Dyspepsia	2.38	4.6475	6.93	Cabergoline
DB00248	Dyspnoea	3.3	3.3	3.3	Cabergoline
DB00248	Euphoric mood	4.7	4.75	4.8	Cabergoline
DB00248	Fatigue	4.52	6.483333333330001	7.79	Cabergoline
DB00248	Feeling abnormal	3.3	4.4	5.8	Cabergoline
DB00248	Flatulence	1.3	1.70333333333	2.0	Cabergoline
DB00248	Gastritis	6.7	7.15	7.6	Cabergoline
DB00248	Gastrointestinal pain	5.0	6.005	8.23	Cabergoline
DB00248	Gravitational oedema	1.0	1.0	1.0	Cabergoline
DB00248	Hallucination	4.3	6.675	9.0	Cabergoline
DB00248	Headache	3.5	15.675	26.8	Cabergoline
DB00248	Hot flush	1.19	1.73333333333	2.71	Cabergoline
DB00248	Hyperhidrosis	5.2	8.15	11.1	Cabergoline
DB00248	Hypertension	5.2	5.2	5.2	Cabergoline
DB00248	Hypokinesia	4.6	4.6	4.6	Cabergoline
DB00248	Hypotension	1.0	2.6180000000000003	5.5	Cabergoline
DB00248	Influenza	7.1	7.65	8.2	Cabergoline
DB00248	Insomnia	1.36	8.952	17.3	Cabergoline
DB00248	Leg edema	5.2	5.2	5.2	Cabergoline
DB00248	Loss of consciousness	1.0	1.22	1.36	Cabergoline
DB00248	Menopausal symptoms	1.19	1.73333333333	2.71	Cabergoline
DB00248	Mental disability	1.0	1.0	1.0	Cabergoline
DB00248	Musculoskeletal discomfort	6.7	6.7	6.7	Cabergoline
DB00248	Nausea	16.4	27.228571428600002	43.3	Cabergoline
DB00248	Nervousness	2.16	2.27	2.38	Cabergoline
DB00248	Nightmare	4.3	4.3	4.3	Cabergoline
DB00248	Oedema peripheral	1.0	4.11111111111	8.5	Cabergoline
DB00248	Orthostatic hypotension	3.57	8.21166666667	12.6	Cabergoline
DB00248	Osteoarthritis	3.8	3.8	3.8	Cabergoline
DB00248	Pain	1.81	2.60333333333	3.4	Cabergoline
DB00248	Palpitations	1.0	3.065	4.8	Cabergoline
DB00248	Paraesthesia	1.19	2.0125	2.6	Cabergoline
DB00248	Pneumonia	4.3	4.3	4.3	Cabergoline
DB00248	Prostatic disorder	3.3	3.3	3.3	Cabergoline
DB00248	Pruritus	1.0	1.0	1.0	Cabergoline
DB00248	Rhinitis	1.0	2.45	3.9	Cabergoline
DB00248	Shock	1.0	1.22	1.36	Cabergoline
DB00248	Sleep disorder	5.4	6.5	7.6	Cabergoline
DB00248	Somnolence	2.16	8.14	18.3	Cabergoline
DB00248	Sweating increased	5.2	8.15	11.1	Cabergoline
DB00248	Syncope	1.0	1.22	1.36	Cabergoline
DB00248	Tension	2.16	2.27	2.38	Cabergoline
DB00248	Upper respiratory tract infection	4.3	4.75	5.2	Cabergoline
DB00248	Urinary tract infection	5.7	5.75	5.8	Cabergoline
DB00248	Vertigo	1.19	3.19666666667	4.33	Cabergoline
DB00248	Visual impairment	1.19	1.19	1.19	Cabergoline
DB00248	Vomiting	2.38	4.85428571429	7.2	Cabergoline
DB00250	Application site burn	1.0	1.5	2.0	Dapsone
DB00250	Application site dryness	16.0	16.5	17.0	Dapsone
DB00250	Application site erythema	13.0	13.5	14.0	Dapsone
DB00250	Application site pain	1.0	1.5	2.0	Dapsone
DB00250	Application site pruritus	1.0	1.0	1.0	Dapsone
DB00250	Application site reaction	18.0	19.0	20.0	Dapsone
DB00250	Body temperature increased	1.0	1.0	1.0	Dapsone
DB00250	Cough	2.0	2.0	2.0	Dapsone
DB00250	Erythema	1.0	5.25	9.0	Dapsone
DB00250	Headache	4.0	4.0	4.0	Dapsone
DB00250	Influenza	1.0	1.0	1.0	Dapsone
DB00250	Joint sprain	1.0	1.0	1.0	Dapsone
DB00250	Ligament sprain	1.0	1.0	1.0	Dapsone
DB00250	Localized exfoliation	1.0	8.75	15.0	Dapsone
DB00250	Nasopharyngitis	5.0	5.5	6.0	Dapsone
DB00250	Pharyngitis	2.0	2.0	2.0	Dapsone
DB00250	Sinusitis	1.0	1.5	2.0	Dapsone
DB00250	Skin exfoliation	1.0	8.75	15.0	Dapsone
DB00251	Body temperature increased	1.75	1.75	1.75	Terconazole
DB00251	Headache	26.0	26.0	26.0	Terconazole
DB00251	Pain	2.1	2.1	2.1	Terconazole
DB00251	Pruritus	2.3	2.3	2.3	Terconazole
DB00252	Accidental injury	3.4	5.0	6.6	Phenytoin
DB00252	Agitation	3.3	3.3	3.3	Phenytoin
DB00252	Amblyopia	2.2	5.65	9.1	Phenytoin
DB00252	Asthenia	2.2	3.13333333333	3.9	Phenytoin
DB00252	Ataxia	8.2	11.475	18.2	Phenytoin
DB00252	Back pain	2.2	2.2	2.2	Phenytoin
DB00252	Brain oedema	2.2	3.35	4.5	Phenytoin
DB00252	Coordination abnormal	4.4	5.4	7.8	Phenytoin
DB00252	Deafness	2.2	2.2	2.2	Phenytoin
DB00252	Depressed level of consciousness	4.5	6.1	7.7	Phenytoin
DB00252	Diplopia	3.3	3.3	3.3	Phenytoin
DB00252	Dizziness	3.3	16.675	31.1	Phenytoin
DB00252	Dry mouth	4.4	4.45	4.5	Phenytoin
DB00252	Dysarthria	2.2	2.2	2.2	Phenytoin
DB00252	Dysgeusia	3.3	3.3	3.3	Phenytoin
DB00252	Ecchymosis	4.9	6.1	7.3	Phenytoin
DB00252	Extrapyramidal disorder	4.4	4.4	4.4	Phenytoin
DB00252	Headache	2.2	5.125	8.9	Phenytoin
DB00252	Hypoaesthesia	2.2	5.65	9.1	Phenytoin
DB00252	Hyporeflexia	2.8	3.85	4.9	Phenytoin
DB00252	Hypotension	7.7	8.4	9.1	Phenytoin
DB00252	Injury	3.4	5.0	6.6	Phenytoin
DB00252	Nausea	4.5	9.0	13.6	Phenytoin
DB00252	Nystagmus	8.2	31.7	59.1	Phenytoin
DB00252	Osteoarthritis	2.2	2.2	2.2	Phenytoin
DB00252	Paraesthesia	3.3	3.86666666667	4.4	Phenytoin
DB00252	Pelvic pain	4.4	4.4	4.4	Phenytoin
DB00252	Pruritus	2.8	18.7333333333	48.9	Phenytoin
DB00252	Somnolence	6.7	15.95	27.3	Phenytoin
DB00252	Stupor	4.5	6.1	7.7	Phenytoin
DB00252	Tachycardia	2.2	2.2	2.2	Phenytoin
DB00252	Tinnitus	8.9	9.0	9.1	Phenytoin
DB00252	Tongue disorder	4.4	4.4	4.4	Phenytoin
DB00252	Tremor	3.3	8.75	13.1	Phenytoin
DB00252	Vertigo	2.2	2.2	2.2	Phenytoin
DB00252	Vomiting	2.2	4.7	9.1	Phenytoin
DB00254	Abdominal discomfort	3.6	3.83333333333	4.1	Doxycycline
DB00254	Abdominal pain	3.6	3.83333333333	4.1	Doxycycline
DB00254	Abdominal pain upper	2.03	3.112	4.1	Doxycycline
DB00254	Abscess	1.5	1.5	1.5	Doxycycline
DB00254	Abscess periodontal	3.76	8.29	10.9	Doxycycline
DB00254	Ache	1.2	1.4	1.6	Doxycycline
DB00254	Acid indigestion	3.76	3.76	3.76	Doxycycline
DB00254	Aphthous stomatitis	1.4	1.55	1.7	Doxycycline
DB00254	Arthralgia	5.63	5.63	5.63	Doxycycline
DB00254	Back pain	1.6	3.5953846153800004	6.2	Doxycycline
DB00254	Body temperature increased	1.0	1.45	1.9	Doxycycline
DB00254	Bronchitis	1.0	2.1225	3.29	Doxycycline
DB00254	Common cold	16.7	22.375	25.5	Doxycycline
DB00254	Cough	2.4	4.0825	6.1	Doxycycline
DB00254	Dentoalveolar abscess	1.5	1.7	1.9	Doxycycline
DB00254	Dermatitis	3.76	3.76	3.76	Doxycycline
DB00254	Diarrhoea	1.0	3.116	5.63	Doxycycline
DB00254	Discomfort	18.1	20.7	23.0	Doxycycline
DB00254	Dysmenorrhoea	4.23	4.23	4.23	Doxycycline
DB00254	Dyspepsia	3.6	4.32888888889	6.1	Doxycycline
DB00254	Ear infection	1.6	1.75	1.9	Doxycycline
DB00254	Erythema	4.3	5.26666666667	6.2	Doxycycline
DB00254	Fistula	1.0	1.25	1.5	Doxycycline
DB00254	Flu symptoms	11.3	11.3	11.3	Doxycycline
DB00254	Gingival bleeding	1.0	1.7	2.4	Doxycycline
DB00254	Gingivitis	4.1	5.2	5.8	Doxycycline
DB00254	Headache	2.03	21.406	28.1	Doxycycline
DB00254	Hypersensitivity	1.0	1.45	1.9	Doxycycline
DB00254	Hypertension	1.6	1.6	1.6	Doxycycline
DB00254	Infection	1.88	7.82	10.9	Doxycycline
DB00254	Inflammation	1.0	1.15	1.3	Doxycycline
DB00254	Influenza	11.3	11.3	11.3	Doxycycline
DB00254	Insomnia	1.5	2.6	3.4	Doxycycline
DB00254	Low back pain	1.6	2.0666666666699998	2.9	Doxycycline
DB00254	Musculoskeletal discomfort	3.3	4.9825	6.4	Doxycycline
DB00254	Musculoskeletal pain	1.0	1.0	1.0	Doxycycline
DB00254	Myalgia	3.3	4.76666666667	6.4	Doxycycline
DB00254	Nasopharyngitis	16.7	22.375	25.5	Doxycycline
DB00254	Nausea	1.8	7.726666666669999	13.4	Doxycycline
DB00254	Neck pain	1.3	1.63333333333	1.9	Doxycycline
DB00254	Oral pain	4.3	5.26666666667	6.2	Doxycycline
DB00254	Oropharyngeal discomfort	3.3	5.165	6.5	Doxycycline
DB00254	Oropharyngeal pain	3.3	5.165	6.5	Doxycycline
DB00254	Osteopenia	2.0	2.2	2.4	Doxycycline
DB00254	Pain	1.2	7.81391304348	23.0	Doxycycline
DB00254	Pain in jaw	1.1	1.5	1.9	Doxycycline
DB00254	Postnasal drip	4.8	6.033333333330001	7.7	Doxycycline
DB00254	Pre-menstrual tension syndrome	3.1	3.6	4.4	Doxycycline
DB00254	Premenstrual syndrome	3.1	3.6	4.4	Doxycycline
DB00254	Premenstrual tension	3.1	3.6	4.4	Doxycycline
DB00254	Pulpitis dental	1.5	1.5	1.5	Doxycycline
DB00254	Rash	3.76	3.76	3.76	Doxycycline
DB00254	Rhinitis	16.7	22.375	25.5	Doxycycline
DB00254	Sensitivity of teeth	6.7	7.63333333333	8.5	Doxycycline
DB00254	Shoulder pain	1.0	1.0	1.0	Doxycycline
DB00254	Sinus congestion	5.16	5.16	5.16	Doxycycline
DB00254	Sinus headache	3.76	3.76	3.76	Doxycycline
DB00254	Sinusitis	1.9	3.2975	5.3	Doxycycline
DB00254	Skin infection	1.0	1.15	1.3	Doxycycline
DB00254	Sore mouth	4.3	5.26666666667	6.2	Doxycycline
DB00254	Stomach ache	3.6	3.83333333333	4.1	Doxycycline
DB00254	Swelling	4.1	5.2	5.8	Doxycycline
DB00254	Tenderness	1.2	11.05	23.0	Doxycycline
DB00254	Tension headache	1.0	1.4	1.8	Doxycycline
DB00254	Throat sore	3.3	5.165	6.5	Doxycycline
DB00254	Tooth abscess	1.5	6.09333333333	10.9	Doxycycline
DB00254	Tooth disorder	6.1	6.1	6.1	Doxycycline
DB00254	Tooth fracture	4.1	4.96666666667	5.7	Doxycycline
DB00254	Tooth loss	1.5	1.5	1.5	Doxycycline
DB00254	Toothache	6.57	12.99	18.1	Doxycycline
DB00254	Upper-airway cough syndrome	4.8	6.033333333330001	7.7	Doxycycline
DB00254	Upset stomach	3.6	3.83333333333	4.1	Doxycycline
DB00254	Vaginal infection	3.25	3.25	3.25	Doxycycline
DB00254	Vaginitis bacterial	3.25	3.25	3.25	Doxycycline
DB00254	Vomiting	1.8	4.965	8.13	Doxycycline
DB00254	Vulvovaginal mycotic infection	2.03	2.03	2.03	Doxycycline
DB00261	Abdominal pain	16.5	16.75	17.0	Anagrelide
DB00261	Anorexia	6.0	6.85	7.7	Anagrelide
DB00261	Asthenia	23.1	23.1	23.1	Anagrelide
DB00261	Back pain	5.9	5.95	6.0	Anagrelide
DB00261	Body temperature increased	8.9	8.95	9.0	Anagrelide
DB00261	Chest pain	8.0	8.0	8.0	Anagrelide
DB00261	Cough	6.0	6.15	6.3	Anagrelide
DB00261	Decreased appetite	6.0	6.85	7.7	Anagrelide
DB00261	Dermatitis	8.0	8.0	8.0	Anagrelide
DB00261	Diarrhoea	24.0	24.85	25.7	Anagrelide
DB00261	Discomfort	6.0	6.2	6.4	Anagrelide
DB00261	Dizziness	15.0	15.2	15.4	Anagrelide
DB00261	Dyspepsia	5.2	5.6	6.0	Anagrelide
DB00261	Dyspnoea	11.0	11.45	11.9	Anagrelide
DB00261	Dysuria	2.0	2.0	2.0	Anagrelide
DB00261	Feeling abnormal	6.0	6.2	6.4	Anagrelide
DB00261	Flatulence	10.2	10.6	11.0	Anagrelide
DB00261	Fluid retention	20.0	20.0	20.0	Anagrelide
DB00261	Gastrointestinal pain	16.5	16.75	17.0	Anagrelide
DB00261	Haematuria	2.0	2.0	2.0	Anagrelide
DB00261	Headache	43.5	44.25	45.0	Anagrelide
DB00261	Ill-defined disorder	6.0	6.2	6.4	Anagrelide
DB00261	Malaise	6.0	6.2	6.4	Anagrelide
DB00261	Nausea	15.0	16.05	17.1	Anagrelide
DB00261	Oedema peripheral	8.5	8.5	8.5	Anagrelide
DB00261	Pain	15.0	15.0	15.0	Anagrelide
DB00261	Palpitations	26.1	26.55	27.0	Anagrelide
DB00261	Paraesthesia	5.9	6.45	7.0	Anagrelide
DB00261	Pharyngitis	6.8	6.9	7.0	Anagrelide
DB00261	Pruritus	5.5	5.75	6.0	Anagrelide
DB00261	Rash	8.0	8.0	8.0	Anagrelide
DB00261	Tachycardia	7.0	7.25	7.5	Anagrelide
DB00261	Thrombocytopenia	9.0	9.0	9.0	Anagrelide
DB00261	Urticaria	8.3	8.3	8.3	Anagrelide
DB00261	Vomiting	7.0	8.35	9.7	Anagrelide
DB00262	Abdominal pain	8.0	8.165	8.33	Carmustine
DB00262	Abnormal vision	5.83	5.83	5.83	Carmustine
DB00262	Abscess	3.64	4.32	5.0	Carmustine
DB00262	Accidental injury	1.0	3.0	5.0	Carmustine
DB00262	Alopecia	10.0	10.0	10.0	Carmustine
DB00262	Amnesia	1.0	5.085	9.17	Carmustine
DB00262	Anxiety	6.67	6.67	6.67	Carmustine
DB00262	Aphasia	9.09	13.295	17.5	Carmustine
DB00262	Asthenia	1.0	14.9	22.0	Carmustine
DB00262	Ataxia	2.0	3.915	5.83	Carmustine
DB00262	Back pain	1.0	4.89	7.0	Carmustine
DB00262	Body temperature increased	17.5	17.5	17.5	Carmustine
DB00262	Brain abscess	6.0	6.0	6.0	Carmustine
DB00262	Brain oedema	3.64	13.2133333333	23.0	Carmustine
DB00262	Candida infection	3.0	3.0	3.0	Carmustine
DB00262	Cerebral haemorrhage	6.0	6.0	6.0	Carmustine
DB00262	Chest pain	1.0	3.0	5.0	Carmustine
DB00262	Coma	1.0	2.585	4.17	Carmustine
DB00262	Confusional state	10.0	16.65	23.3	Carmustine
DB00262	Conjunctival oedema	6.67	6.67	6.67	Carmustine
DB00262	Constipation	1.0	10.3	19.2	Carmustine
DB00262	Convulsion	19.1	27.35	37.0	Carmustine
DB00262	Coordination abnormal	2.5	2.5	2.5	Carmustine
DB00262	Cushing's syndrome	3.0	3.165	3.33	Carmustine
DB00262	Depressed level of consciousness	6.36	6.36	6.36	Carmustine
DB00262	Depression	15.8	15.9	16.0	Carmustine
DB00262	Dermatitis	2.0	6.38333333333	11.7	Carmustine
DB00262	Diabetes mellitus	5.0	5.0	5.0	Carmustine
DB00262	Diarrhoea	2.0	3.5	5.0	Carmustine
DB00262	Diplopia	1.0	1.0	1.0	Carmustine
DB00262	Dizziness	2.0	3.5	5.0	Carmustine
DB00262	Dysphagia	1.0	1.0	1.0	Carmustine
DB00262	Dyspnoea	3.33	3.33	3.33	Carmustine
DB00262	Edema cerebral	4.0	13.5	23.0	Carmustine
DB00262	Eye disorder	2.5	2.5	2.5	Carmustine
DB00262	Eye pain	1.0	1.0	1.0	Carmustine
DB00262	Face oedema	5.83	5.83	5.83	Carmustine
DB00262	Facial paralysis	6.67	6.67	6.67	Carmustine
DB00262	Faecal incontinence	1.0	1.0	1.0	Carmustine
DB00262	Feeling abnormal	10.0	16.65	23.3	Carmustine
DB00262	Gait disturbance	5.0	5.0	5.0	Carmustine
DB00262	Gastrointestinal haemorrhage	1.0	1.0	1.0	Carmustine
DB00262	Gastrointestinal pain	8.0	8.165	8.33	Carmustine
DB00262	Grand mal convulsion	5.0	5.0	5.0	Carmustine
DB00262	Gynaecomastia	1.0	1.0	1.0	Carmustine
DB00262	Haemoglobin	6.67	6.67	6.67	Carmustine
DB00262	Haemorrhage	6.67	6.67	6.67	Carmustine
DB00262	Hallucination	5.0	5.0	5.0	Carmustine
DB00262	Headache	14.5	21.0	27.5	Carmustine
DB00262	Hemiplegia	19.1	29.95	40.8	Carmustine
DB00262	Hydrocephalus	3.0	4.0	5.0	Carmustine
DB00262	Hyperglycaemia	2.0	2.5	3.0	Carmustine
DB00262	Hypersensitivity	1.0	1.335	1.67	Carmustine
DB00262	Hypertension	3.0	3.0	3.0	Carmustine
DB00262	Hypoaesthesia	5.83	5.83	5.83	Carmustine
DB00262	Hypokalaemia	1.0	1.0	1.0	Carmustine
DB00262	Hypokinesia	1.67	1.67	1.67	Carmustine
DB00262	Hyponatraemia	3.0	3.0	3.0	Carmustine
DB00262	Hypotension	1.0	2.0	3.0	Carmustine
DB00262	Impaired healing	13.6	14.7	15.8	Carmustine
DB00262	Infection	1.0	7.1	18.3	Carmustine
DB00262	Injury	1.0	3.0	5.0	Carmustine
DB00262	Insomnia	2.0	3.5	5.0	Carmustine
DB00262	Intracranial pressure increased	3.64	7.27	9.17	Carmustine
DB00262	Leukocytosis	1.0	1.0	1.0	Carmustine
DB00262	Meningitis	3.64	3.64	3.64	Carmustine
DB00262	Mental disability	2.0	3.61	5.83	Carmustine
DB00262	Monoplegia	2.0	2.0	2.0	Carmustine
DB00262	Muscular weakness	4.17	4.17	4.17	Carmustine
DB00262	Musculoskeletal discomfort	1.0	1.0	1.0	Carmustine
DB00262	Myalgia	1.0	1.0	1.0	Carmustine
DB00262	Myasthenia	4.17	4.17	4.17	Carmustine
DB00262	Nausea	8.18	14.94	21.7	Carmustine
DB00262	Neck pain	2.0	2.0	2.0	Carmustine
DB00262	Neuropathy	6.67	6.67	6.67	Carmustine
DB00262	Neuropathy peripheral	6.67	6.67	6.67	Carmustine
DB00262	Oedema peripheral	2.0	5.585	9.17	Carmustine
DB00262	Oral candidiasis	3.0	3.0	3.0	Carmustine
DB00262	Pain	4.0	8.19	13.3	Carmustine
DB00262	Paraesthesia	5.83	5.83	5.83	Carmustine
DB00262	Paranoia	1.0	1.0	1.0	Carmustine
DB00262	Paranoid reaction	1.0	1.0	1.0	Carmustine
DB00262	Personality disorder	8.33	8.33	8.33	Carmustine
DB00262	Phlebitis	10.0	10.0	10.0	Carmustine
DB00262	Pneumonia	8.33	8.33	8.33	Carmustine
DB00262	Pneumonia aspiration	1.0	1.0	1.0	Carmustine
DB00262	Pulmonary embolism	8.33	8.33	8.33	Carmustine
DB00262	Rash	2.0	6.38333333333	11.7	Carmustine
DB00262	Scotoma	2.0	3.5	5.0	Carmustine
DB00262	Sepsis	1.0	1.0	1.0	Carmustine
DB00262	Somnolence	10.8	12.2	13.6	Carmustine
DB00262	Speech disorder	10.8	10.8	10.8	Carmustine
DB00262	Stupor	6.36	6.36	6.36	Carmustine
DB00262	Tachycardia	2.0	2.0	2.0	Carmustine
DB00262	Thinking abnormal	2.0	3.61	5.83	Carmustine
DB00262	Thrombocytopenia	1.0	1.0	1.0	Carmustine
DB00262	Thrombophlebitis	10.0	10.0	10.0	Carmustine
DB00262	Tremor	5.0	5.0	5.0	Carmustine
DB00262	Urinary incontinence	2.0	4.75	7.5	Carmustine
DB00262	Urinary tract infection	8.33	16.7433333333	21.0	Carmustine
DB00262	VIIth nerve paralysis	6.67	6.67	6.67	Carmustine
DB00262	Visual impairment	5.83	5.83	5.83	Carmustine
DB00262	Vomiting	2.0	12.995	21.0	Carmustine
DB00262	Wound	14.0	15.0	16.0	Carmustine
DB00264	Atrioventricular block complete	4.7	4.7	4.7	Metoprolol
DB00264	Atrioventricular block first degree	5.3	5.3	5.3	Metoprolol
DB00264	Bradycardia	1.5	8.7	15.9	Metoprolol
DB00264	Cardiac failure	27.5	27.5	27.5	Metoprolol
DB00264	Dizziness	1.8	1.8	1.8	Metoprolol
DB00264	Hypotension	27.4	27.4	27.4	Metoprolol
DB00264	Orthostatic hypotension	27.4	27.4	27.4	Metoprolol
DB00264	Vertigo	1.8	1.8	1.8	Metoprolol
DB00268	Abdominal pain	6.0	7.5	9.0	Ropinirole
DB00268	Abdominal pain upper	2.0	2.5	3.0	Ropinirole
DB00268	Abnormal vision	6.0	6.0	6.0	Ropinirole
DB00268	Agitation	2.0	2.0	2.0	Ropinirole
DB00268	Amnesia	3.0	4.0	5.0	Ropinirole
DB00268	Anaemia	2.0	2.0	2.0	Ropinirole
DB00268	Anorexia	4.0	4.0	4.0	Ropinirole
DB00268	Anxiety	1.9	3.3	6.0	Ropinirole
DB00268	Arthralgia	4.0	5.5	7.0	Ropinirole
DB00268	Arthritis	3.0	3.0	3.0	Ropinirole
DB00268	Asthenia	5.0	8.909090909089999	16.0	Ropinirole
DB00268	Atrial fibrillation	2.0	2.0	2.0	Ropinirole
DB00268	Back pain	3.0	3.0	3.0	Ropinirole
DB00268	Blood alkaline phosphatase increased	3.0	3.0	3.0	Ropinirole
DB00268	Bronchitis	3.0	3.0	3.0	Ropinirole
DB00268	Cerebration impaired	2.0	2.0	2.0	Ropinirole
DB00268	Chest pain	4.0	4.0	4.0	Ropinirole
DB00268	Confusional state	2.4	5.85	9.0	Ropinirole
DB00268	Congenital eye disorder	3.0	3.0	3.0	Ropinirole
DB00268	Constipation	4.0	5.0	6.0	Ropinirole
DB00268	Cough	3.0	3.0	3.0	Ropinirole
DB00268	Cramp muscle	3.0	3.0	3.0	Ropinirole
DB00268	Decreased appetite	4.0	4.0	4.0	Ropinirole
DB00268	Diarrhoea	3.0	4.0	5.0	Ropinirole
DB00268	Diplopia	2.0	2.0	2.0	Ropinirole
DB00268	Discomfort	3.0	5.8	7.0	Ropinirole
DB00268	Disturbance in attention	2.0	2.0	2.0	Ropinirole
DB00268	Dizziness	2.9	13.2095238095	40.0	Ropinirole
DB00268	Drug level increased	7.0	7.0	7.0	Ropinirole
DB00268	Dry mouth	2.0	3.33333333333	5.0	Ropinirole
DB00268	Dyskinesia	2.4	17.6	34.0	Ropinirole
DB00268	Dyspepsia	4.0	6.333333333330001	10.0	Ropinirole
DB00268	Dysphagia	2.0	2.0	2.0	Ropinirole
DB00268	Dyspnoea	3.0	3.0	3.0	Ropinirole
DB00268	Ear and labyrinth disorders	2.0	2.0	2.0	Ropinirole
DB00268	Erectile dysfunction	3.0	3.0	3.0	Ropinirole
DB00268	Extrasystoles	2.0	2.0	2.0	Ropinirole
DB00268	Eye disorder	3.0	3.0	3.0	Ropinirole
DB00268	Fatigue	7.0	8.666666666669999	11.0	Ropinirole
DB00268	Feeling abnormal	2.4	5.28	9.0	Ropinirole
DB00268	Flatulence	2.0	2.5	3.0	Ropinirole
DB00268	Flushing	3.0	3.0	3.0	Ropinirole
DB00268	Gastrointestinal pain	6.0	7.5	9.0	Ropinirole
DB00268	Gravitational oedema	6.0	6.0	6.0	Ropinirole
DB00268	Hallucination	1.3	7.2125	23.5	Ropinirole
DB00268	Headache	1.3	7.325	17.0	Ropinirole
DB00268	Hyperhidrosis	1.4	4.23333333333	7.0	Ropinirole
DB00268	Hyperkinesia	2.0	2.0	2.0	Ropinirole
DB00268	Hypertension	3.0	4.0	5.0	Ropinirole
DB00268	Hypoaesthesia	4.0	4.0	4.0	Ropinirole
DB00268	Hypokinesia	5.0	5.0	5.0	Ropinirole
DB00268	Hypotension	2.0	2.0	2.0	Ropinirole
DB00268	Ill-defined disorder	3.0	3.0	3.0	Ropinirole
DB00268	Influenza	3.0	3.0	3.0	Ropinirole
DB00268	Leg edema	6.0	6.5	7.0	Ropinirole
DB00268	Loss of consciousness	3.0	8.666666666669999	12.0	Ropinirole
DB00268	Malaise	3.0	3.0	3.0	Ropinirole
DB00268	Mental disability	2.0	2.0	2.0	Ropinirole
DB00268	Muscle spasms	3.0	3.0	3.0	Ropinirole
DB00268	Musculoskeletal discomfort	4.0	5.5	7.0	Ropinirole
DB00268	Nasal congestion	2.0	2.0	2.0	Ropinirole
DB00268	Nasopharyngitis	9.0	9.0	9.0	Ropinirole
DB00268	Nausea	1.6	21.99	60.0	Ropinirole
DB00268	Nervousness	5.0	5.0	5.0	Ropinirole
DB00268	Oedema peripheral	2.0	4.16666666667	7.0	Ropinirole
DB00268	Orthostatic hypotension	5.0	5.0	5.0	Ropinirole
DB00268	Pain	5.0	6.5	8.0	Ropinirole
DB00268	Pain in extremity	3.0	3.0	3.0	Ropinirole
DB00268	Palpitations	3.0	3.0	3.0	Ropinirole
DB00268	Paraesthesia	3.0	4.0	5.0	Ropinirole
DB00268	Paresis	3.0	3.0	3.0	Ropinirole
DB00268	Parkinson's disease	1.3	1.3	1.3	Ropinirole
DB00268	Parkinson's disease aggravated	1.3	1.3	1.3	Ropinirole
DB00268	Peripheral ischaemia	3.0	3.0	3.0	Ropinirole
DB00268	Pharyngitis	6.0	6.0	6.0	Ropinirole
DB00268	Phosphatase alkaline increased	3.0	3.0	3.0	Ropinirole
DB00268	Pyuria	2.0	2.0	2.0	Ropinirole
